ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_CODIGO_ICFES,COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PUNT_MATEMATICAS,PERCENTIL_MATEMATICAS,DESEMP_MATEMATICAS,PUNT_C_NATURALES,PERCENTIL_C_NATURALES,DESEMP_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_GLOBAL,PERCENTIL_GLOBAL,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION,ESTU_GENERACION-E
TI,COLOMBIA,M,12/20/2002 0:00,20204,SB11202040456029,ESTUDIANTE,COLOMBIA,No,BOLIVAR,13,CARTAGENA DE INDIAS,13001,Sin Estrato,5 a 6,Dos,Ninguno,Primaria incompleta,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia",No,No,No,Si,No,No,Si,No,0 A 10 LIBROS,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,Igual,30 minutos o menos,Entre 1 y 3 horas,0,No,107524,1.13001E+11,INSTITUCION EDUCATIVA SANTA MARIA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.13001E+11,INSTITUCION EDUCATIVA SANTA MARIA,S,URBANO,MAÑANA,13001,CARTAGENA DE INDIAS,13,BOLIVAR,N,13001,CARTAGENA DE INDIAS,BOLIVAR,13,48,33,2,46,35,2,36,12,1,34,12,1,40,29,A-,205,21,38.75837932,1,2,PUBLICAR,NO
TI,COLOMBIA,M,5/11/2004 0:00,20204,SB11202040060770,ESTUDIANTE,COLOMBIA,No,NORTE SANTANDER,54,CUCUTILLA,54223,Estrato 1,5 a 6,Cuatro,Secundaria (Bachillerato) completa,Primaria completa,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",No,Si,No,Si,No,Si,Si,No,11 A 25 LIBROS,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Igual,No leo por entretenimiento,30 minutos o menos,0,No,168062,2.54223E+11,CENT EDUC RUR ROMAN,MASCULINO,OFICIAL,A,N,ACADÉMICO,2.54223E+11,CENT EDUC RUR ROMAN,S,RURAL,COMPLETA,54223,CUCUTILLA,54,NORTE SANTANDER,N,54051,ARBOLEDAS,NORTE SANTANDER,54,60,77,3,55,63,3,44,38,2,53,65,2,36,14,A-,258,60,45.85067109,2,1,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,F,6/18/2003 0:00,20204,SB11202040282214,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11,BOGOTÁ D.C.,11001,Estrato 3,3 a 4,Dos,Técnica o tecnológica completa,Técnica o tecnológica completa,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Es vendedor o trabaja en atención al público,Si,Si,Si,Si,Si,Si,No,Si,26 A 100 LIBROS,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Mejor,Entre 1 y 2 horas,Entre 30 y 60 minutos,0,No,734368,1.11001E+11,COLEGIO TECNICO MENORAH (IED),FEMENINO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.11001E+11,COL DIST TEC MENORAH,S,URBANO,UNICA,11001,BOGOTÁ D.C.,11,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,59,73,3,62,83,3,60,85,3,65,92,3,54,80,A1,305,87,66.64154051,4,3,PUBLICAR,NO
TI,COLOMBIA,F,12/28/2002 0:00,20204,SB11202040240060,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11,BOGOTÁ D.C.,11001,Estrato 1,5 a 6,,Primaria incompleta,Primaria incompleta,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",No,No,No,Si,No,No,No,No,26 A 100 LIBROS,3 a 5 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Peor,30 minutos o menos,30 minutos o menos,0,No,665620,1.11001E+11,COLEGIO LA ESTRELLITA (IED),MIXTO,OFICIAL,A,N,ACADÉMICO,1.11001E+11,COLEGIO LA ESTRELLITA (IED),S,URBANO,UNICA,11001,BOGOTÁ D.C.,11,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,55,60,3,44,28,2,46,46,2,53,65,2,38,21,A-,243,48,41.56636027,2,3,PUBLICAR,NO
CC,COLOMBIA,F,2/25/2002 0:00,20204,SB11202040115853,ESTUDIANTE,COLOMBIA,No,ARAUCA,81,SARAVENA,81736,Estrato 1,7 a 8,Tres,Técnica o tecnológica completa,Educación profesional incompleta,"Es agricultor, pesquero o jornalero",Es vendedor o trabaja en atención al público,No,No,No,No,No,No,Si,No,0 A 10 LIBROS,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Igual,Entre 30 y 60 minutos,Entre 30 y 60 minutos,0,No,273888,1.81736E+11,IE CONCENTRACION DE DESARROLLO RURAL,MIXTO,OFICIAL,A,N,TÉCNICO,1.81736E+11,CONCENTRACION DE DESARROLLO RURAL,S,URBANO,MAÑANA,81736,SARAVENA,81,ARAUCA,N,81736,SARAVENA,ARAUCA,81,44,23,2,,55,3,43,35,2,37,19,1,44,47,A-,221,32,41.88732498,2,2,PUBLICAR,NO
TI,COLOMBIA,F,11/5/2003 0:00,20204,SB11202040412430,ESTUDIANTE,COLOMBIA,No,MAGDALENA,47,SANTA MARTA,47001,Estrato 1,3 a 4,Dos,Ninguno,Ninguno,"Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia",No,No,No,No,No,No,No,No,0 A 10 LIBROS,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,Peor,Más de 2 horas,No Navega Internet,Menos de 10 horas,No,648048,1.47001E+11,IED LICEO SAMARIO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.47001E+11,SEDE 01 LICEO SAMARIO,S,URBANO,TARDE,47001,SANTA MARTA,47,MAGDALENA,N,47001,SANTA MARTA,MAGDALENA,47,54,55,3,50,46,2,41,28,2,43,38,2,,53,A-,235,42,26.95801368,1,3,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,F,2/14/2004 0:00,20204,SB11202040473667,ESTUDIANTE,COLOMBIA,Si,CAUCA,19,VILLA RICA,19845,,5 a 6,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)",Si,Si,No,No,Si,No,Si,No,0 A 10 LIBROS,3 a 5 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,Igual,30 minutos o menos,Entre 30 y 60 minutos,0,No,746834,2.19698E+11,I.E. JUAN IGNACIO,MIXTO,OFICIAL,A,,TÉCNICO/ACADÉMICO,2.19698E+11,JUAN IGNACIO (sede principal),S,RURAL,UNICA,19845,VILLA RICA,19,CAUCA,N,19573,PUERTO TEJADA,CAUCA,19,59,74,3,54,59,3,28,1,1,33,9,1,30,2,A-,212,26,49.04396503,2,2,PUBLICAR,GENERACION E - GRATUIDAD
CC,COLOMBIA,F,11/23/2000 0:00,20204,SB11202040506840,ESTUDIANTE,COLOMBIA,No,VALLE,76,CALI,76001,Estrato 2,1 a 2,Uno,Primaria incompleta,Primaria incompleta,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",Si,No,No,No,No,No,No,No,0 A 10 LIBROS,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,Mejor,Más de 2 horas,Entre 30 y 60 minutos,Menos de 10 horas,No,160721,1.76001E+11,INSTITUCION EDUCATIVA ISAIAS GAMBOA,MIXTO,OFICIAL,A,N,ACADÉMICO,1.76001E+11,LA INMACULADA,N,URBANO,NOCHE,76001,CALI,76,VALLE,N,76001,CALI,VALLE,76,45,26,2,39,15,2,37,15,1,44,41,2,36,14,A-,204,20,34.40143332,1,2,PUBLICAR,NO
TI,COLOMBIA,M,10/7/2003 0:00,20204,SB11202040349524,ESTUDIANTE,COLOMBIA,No,RISARALDA,66,PUEBLO RICO,66572,Estrato 2,3 a 4,Seis o mas,Educación profesional completa,Secundaria (Bachillerato) completa,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia",Si,Si,Si,Si,Si,Si,Si,Si,0 A 10 LIBROS,1 o 2 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,Igual,30 minutos o menos,Entre 1 y 3 horas,Menos de 10 horas,No,725176,1.66572E+11,IE SAN PABLO,MIXTO,OFICIAL,A,N,ACADÉMICO,1.66572E+11,SE SAN PABLO - SEDE PRINCIPAL,S,URBANO,UNICA,66572,PUEBLO RICO,66,RISARALDA,N,66045,APÍA,RISARALDA,66,54,56,3,52,52,3,40,25,1,46,46,2,54,80,A1,242,48,58.84164072,3,2,PUBLICAR,GENERACION E - GRATUIDAD
TI,COLOMBIA,M,8/26/2003 0:00,20204,SB11202040190621,ESTUDIANTE,COLOMBIA,No,ATLANTICO,8,BARRANQUILLA,8001,Estrato 2,5 a 6,Tres,Secundaria (Bachillerato) completa,Educación profesional completa,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Si,Si,Si,Si,Si,No,No,Si,0 A 10 LIBROS,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Igual,No leo por entretenimiento,Entre 30 y 60 minutos,0,No,722017,1.08001E+11,INSTITUCION EDUCATIVA DISTRITAL TÉCNICA NACIONAL DE COMERCIO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,1.08001E+11,INSTITUCION EDUCATIVA DISTRITAL TECNICA NACIONAL DE COMERCIO - SEDE PRINCIPAL,S,URBANO,UNICA,8001,BARRANQUILLA,8,ATLANTICO,N,8001,BARRANQUILLA,ATLANTICO,8,52,50,3,60,78,3,55,73,2,38,22,1,58,86,A2,259,60,66.54726384,4,3,PUBLICAR,NO
